Year,Club,Position,Breed,Registrations
2006,UK Kennel Club,1,Labrador Retriever,45.7
2006,UK Kennel Club,2,English Cocker Spaniel,20.459
2006,UK Kennel Club,3,English Springer Spaniel,15.133
2006,UK Kennel Club,4,German Shepherd,12.857
2006,UK Kennel Club,5,Staffordshire Bull Terrier,12.729
2006,UK Kennel Club,6,Cavalier King Charles Spaniel,11.411
2006,UK Kennel Club,7,Golden Retriever,9.373
2006,UK Kennel Club,8,West Highland White Terrier,9.3
2006,UK Kennel Club,9,Boxer,9.066
2006,UK Kennel Club,10,Border Terrier,8.916
2006,American Kennel Club,1,Labrador Retriever,123.76
2006,American Kennel Club,2,Yorkshire Terrier,48.346
2006,American Kennel Club,3,German Shepherd,43.575
2006,American Kennel Club,4,Golden Retriever,42.962
2006,American Kennel Club,5,Beagle,39.484
2006,American Kennel Club,6,Dachshund,36.033
2006,American Kennel Club,7,Boxer,35.388
2006,American Kennel Club,8,Poodle,29.939
2006,American Kennel Club,9,Shih Tzu,27.282
2006,American Kennel Club,10,Miniature Schnauzer,22.92
2007,Canadian Kennel Club,1,Labrador Retriever,8.881
2007,Canadian Kennel Club,2,Golden Retriever,5.647
2007,Canadian Kennel Club,3,German Shepherd,5.062
2007,Canadian Kennel Club,4,Poodle,2.839
2007,Canadian Kennel Club,5,Shetland Sheepdog,2.477
2007,Canadian Kennel Club,6,Yorkshire Terrier,2.441
2007,Canadian Kennel Club,7,Miniature Schnauzer,1.679
2007,Canadian Kennel Club,8,Boxer,1.677
2007,Canadian Kennel Club,9,Shih Tzu,1.431
2007,Canadian Kennel Club,10,Bernese Mountain Dog,1.303
2007,American Kennel Club,1,Labrador Retriever,-
2007,American Kennel Club,2,Yorkshire Terrier,-
2007,American Kennel Club,3,German Shepherd,-
2007,American Kennel Club,4,Golden Retriever,-
2007,American Kennel Club,5,Beagle,-
2007,American Kennel Club,6,Boxer,-
2007,American Kennel Club,7,Dachshund,-
2007,American Kennel Club,8,Poodle,-
2007,American Kennel Club,9,Shih Tzu,-
2007,American Kennel Club,10,Bulldog,-
2007,Australian National Kennel Council ,1,Labrador Retriever,4.491
2007,Australian National Kennel Council ,2,German Shepherd,4.194
2007,Australian National Kennel Council ,3,Staffordshire Bull Terrier,3.996
2007,Australian National Kennel Council ,4,Cavalier King Charles Spaniel,2.987
2007,Australian National Kennel Council ,5,Golden Retriever,2.873
2007,Australian National Kennel Council ,6,Border Collie,1.978
2007,Australian National Kennel Council ,7,Pug,1.571
2007,Australian National Kennel Council ,8,English Cocker Spaniel,1.473
2007,Australian National Kennel Council ,9,Dalmatian,1.452
2007,Australian National Kennel Council ,10,Rottweiler,1.317
2008,UK Kennel Club,1,Labrador Retriever,45.233
2008,UK Kennel Club,2,English Cocker Spaniel,22.508
2008,UK Kennel Club,3,English Springer Spaniel,14.899
2008,UK Kennel Club,4,German Shepherd,11.903
2008,UK Kennel Club,5,Cavalier King Charles Spaniel,11.226
2008,UK Kennel Club,6,Staffordshire Bull Terrier,10.744
2008,UK Kennel Club,7,Golden Retriever,9.159
2008,UK Kennel Club,8,Border Terrier,9.145
2008,UK Kennel Club,9,Boxer,7.353
2008,UK Kennel Club,10,West Highland White Terrier,7.33
2008,American Kennel Club,1,Labrador Retriever,-
2008,American Kennel Club,2,Yorkshire Terrier,-
2008,American Kennel Club,3,German Shepherd,-
2008,American Kennel Club,4,Golden Retriever,-
2008,American Kennel Club,5,Beagle,-
2008,American Kennel Club,6,Boxer,-
2008,American Kennel Club,7,Dachshund,-
2008,American Kennel Club,8,English Bulldog,-
2008,American Kennel Club,9,Poodle,-
2008,American Kennel Club,10,Shih Tzu,-
2008,Canadian Kennel Club,1,Labrador Retriever,8.71
2008,Canadian Kennel Club,2,Golden Retriever,5.386
2008,Canadian Kennel Club,3,German Shepherd,4.429
2008,Canadian Kennel Club,4,Poodle,2.618
2008,Canadian Kennel Club,5,Shetland Sheepdog,2.282
2008,Canadian Kennel Club,6,Yorkshire Terrier,2.209
2008,Canadian Kennel Club,7,Boxer,1.54
2008,Canadian Kennel Club,8,Miniature Schnauzer,1.363
2008,Canadian Kennel Club,9,Bernese Mountain Dog,1.254
2008,Canadian Kennel Club,10,Shih Tzu,1.245
2009,Ente Nazionale Cinofilia Italiana ,1,English Setter,-
2009,Ente Nazionale Cinofilia Italiana ,2,German Shepherd,-
2009,Ente Nazionale Cinofilia Italiana ,3,Segugio Maremmano,-
2009,Ente Nazionale Cinofilia Italiana ,4,Labrador Retriever,-
2009,Ente Nazionale Cinofilia Italiana ,5,Brittany,-
2009,Ente Nazionale Cinofilia Italiana ,6,Segugio Italiano a Pelo Raso,-
2009,Ente Nazionale Cinofilia Italiana ,7,Golden Retriever,-
